# reimpl: v2xvitbench model=v2xvit dataset=v2xset
# 281 tensors, 12701820 parameters

encoder.vfe.linear.weight	[64, 9]
fusion.blocks.2.hmsa.0.v_linears.1.weight	[256, 256]
fusion.blocks.2.hmsa.0.v_linears.1.bias	[256]
fusion.blocks.2.hmsa.0.a_linears.0.weight	[256, 256]
fusion.blocks.2.hmsa.0.a_linears.0.bias	[256]
fusion.blocks.2.hmsa.0.a_linears.1.weight	[256, 256]
fusion.blocks.2.hmsa.0.a_linears.1.bias	[256]
fusion.blocks.2.mswin.0.branches.0.to_qkv.weight	[768, 256]
fusion.blocks.2.mswin.0.branches.0.to_out.0.weight	[256, 256]
fusion.blocks.2.mswin.0.branches.0.to_out.0.bias	[256]
fusion.blocks.2.mswin.0.branches.0.bias.table	[49, 16]
fusion.blocks.2.mswin.0.branches.0.bias.index	[16, 16]
fusion.blocks.2.mswin.0.branches.1.to_qkv.weight	[768, 256]
fusion.blocks.2.mswin.0.branches.1.to_out.0.weight	[256, 256]
fusion.blocks.2.mswin.0.branches.1.to_out.0.bias	[256]
fusion.blocks.2.mswin.0.branches.1.bias.table	[225, 8]
fusion.blocks.2.mswin.0.branches.1.bias.index	[64, 64]
fusion.blocks.2.mswin.0.branches.2.to_qkv.weight	[768, 256]
fusion.blocks.2.mswin.0.branches.2.to_out.0.weight	[256, 256]
fusion.blocks.2.mswin.0.branches.2.to_out.0.bias	[256]
fusion.blocks.2.mswin.0.branches.2.bias.table	[961, 4]
fusion.blocks.2.mswin.0.branches.2.bias.index	[256, 256]
fusion.blocks.2.mswin.0.fuse.fc1.weight	[64, 256]
fusion.blocks.2.mswin.0.fuse.fc1.bias	[64]
fusion.blocks.2.mswin.0.fuse.fc2.weight	[768, 64]
fusion.blocks.2.mswin.0.fuse.fc2.bias	[768]
fusion.ffns.0.norm.weight	[256]
fusion.ffns.0.norm.bias	[256]
fusion.ffns.0.fc1.weight	[256, 256]
fusion.ffns.0.fc1.bias	[256]
fusion.ffns.0.fc2.weight	[256, 256]
fusion.ffns.0.fc2.bias	[256]
fusion.ffns.1.norm.weight	[256]
fusion.ffns.1.norm.bias	[256]
fusion.ffns.1.fc1.weight	[256, 256]
fusion.ffns.1.fc1.bias	[256]
fusion.ffns.1.fc2.weight	[256, 256]
fusion.ffns.1.fc2.bias	[256]
fusion.ffns.2.norm.weight	[256]
fusion.ffns.2.norm.bias	[256]
fusion.ffns.2.fc1.weight	[256, 256]
fusion.ffns.2.fc1.bias	[256]
fusion.ffns.2.fc2.weight	[256, 256]
fusion.ffns.2.fc2.bias	[256]
fusion.rte.table	[201, 256]
fusion.rte.linear.weight	[256, 256]
fusion.rte.linear.bias	[256]
head.cls_head.weight	[2, 256, 1, 1]
head.cls_head.bias	[2]
head.reg_head.weight	[14, 256, 1, 1]
head.reg_head.bias	[14]
